id,book_id,author_id,advance_paid,base_royalty_rate,royalty_split,royalty_details
224,219,89,50000,0.0858,100%,Tiered digital/print split
225,220,89,500000,0.1963,100%,Tiered digital/print split
226,221,89,750000,0.1858,100%,Flat rate agreement
227,222,89,1000000,0.125,100%,Tiered digital/print split
228,223,90,150000,0.0995,100%,Standard trade terms
229,224,90,50000,0.1154,100%,Flat rate agreement
230,225,90,200000,0.1942,100%,Standard trade terms
231,226,90,300000,0.1004,100%,Tiered digital/print split
232,227,91,100000,0.1678,100%,First-time author terms
233,228,91,75000,0.1206,100%,First-time author terms
234,229,91,750000,0.1645,100%,Tiered digital/print split
235,230,91,100000,0.1529,100%,Tiered digital/print split
236,231,92,100000,0.0864,100%,Flat rate agreement
237,232,92,150000,0.1969,100%,Tiered digital/print split
238,233,92,1000000,0.1666,100%,First-time author terms
239,234,92,200000,0.1593,100%,Flat rate agreement
240,235,93,150000,0.0915,100%,Tiered digital/print split
241,236,93,1000000,0.1808,100%,Escalating royalty after 100k copies
242,237,93,50000,0.1233,100%,Tiered digital/print split
243,238,95,75000,0.1153,100%,First-time author terms
244,239,95,750000,0.104,100%,Standard trade terms
245,240,95,150000,0.1005,100%,Flat rate agreement
246,241,98,75000,0.1368,100%,Standard trade terms
247,242,98,200000,0.1742,100%,Tiered digital/print split
248,243,99,750000,0.1874,100%,Flat rate agreement
249,244,99,75000,0.157,100%,Tiered digital/print split
250,245,100,100000,0.1245,50.0%,Tiered digital/print split
251,245,9,300000,0.1024,50.0%,Standard trade terms
252,246,100,200000,0.1328,100%,Flat rate agreement
253,247,100,150000,0.1804,100%,First-time author terms
254,248,100,50000,0.0981,100%,Standard trade terms
255,249,19,75000,0.1602,100%,First-time author terms
256,250,19,500000,0.1965,100%,First-time author terms
257,251,19,150000,0.1464,100%,Tiered digital/print split
258,252,19,1000000,0.1302,100%,First-time author terms
259,253,19,750000,0.1487,100%,Escalating royalty after 100k copies
260,254,19,750000,0.1159,100%,Tiered digital/print split
261,255,71,50000,0.1403,100%,First-time author terms
262,256,71,100000,0.0944,100%,Tiered digital/print split
263,257,71,100000,0.1939,100%,Escalating royalty after 100k copies
264,258,72,150000,0.177,100%,Escalating royalty after 100k copies
265,259,72,50000,0.1308,100%,Tiered digital/print split
266,260,72,150000,0.1997,100%,Escalating royalty after 100k copies
267,261,79,200000,0.1184,100%,Standard trade terms
268,262,79,75000,0.1266,100%,Tiered digital/print split
269,263,79,1000000,0.1191,100%,Flat rate agreement
270,264,80,1000000,0.135,100%,Standard trade terms
271,265,80,1000000,0.1738,100%,Standard trade terms
272,266,80,500000,0.098,100%,First-time author terms
273,267,41,75000,0.191,100%,First-time author terms
274,268,41,75000,0.1743,100%,First-time author terms
275,269,41,300000,0.1853,100%,Flat rate agreement
276,270,77,500000,0.1586,100%,First-time author terms
277,271,77,750000,0.0845,100%,Flat rate agreement
278,272,77,500000,0.0973,100%,First-time author terms
279,273,94,500000,0.0847,100%,Flat rate agreement
280,274,96,150000,0.0859,100%,Tiered digital/print split
281,275,96,200000,0.1876,100%,Standard trade terms
282,276,97,300000,0.1781,100%,Flat rate agreement
283,277,97,200000,0.1136,100%,Tiered digital/print split
284,278,10,75000,0.1967,100%,Escalating royalty after 100k copies
285,279,1,100000,0.1161,100%,Tiered digital/print split
286,280,15,300000,0.1123,100%,Tiered digital/print split
287,281,99,75000,0.1026,100%,Escalating royalty after 100k copies
288,282,47,500000,0.1689,100%,First-time author terms
289,283,13,300000,0.1785,100%,First-time author terms
290,284,83,100000,0.0879,100%,First-time author terms
291,285,85,500000,0.0963,100%,First-time author terms
292,286,71,50000,0.1008,100%,Escalating royalty after 100k copies
293,287,83,50000,0.1099,100%,Tiered digital/print split
294,288,86,50000,0.1902,100%,Escalating royalty after 100k copies
295,289,16,200000,0.1242,100%,Tiered digital/print split
296,290,46,1000000,0.1276,100%,Standard trade terms
297,291,90,50000,0.109,100%,Tiered digital/print split
298,292,90,750000,0.1013,100%,Tiered digital/print split
299,293,32,1000000,0.122,100%,Escalating royalty after 100k copies
300,294,28,200000,0.1699,100%,Standard trade terms
301,295,98,200000,0.0833,100%,Standard trade terms
302,296,99,100000,0.1825,100%,Escalating royalty after 100k copies
303,297,37,150000,0.1577,100%,Escalating royalty after 100k copies
304,298,47,200000,0.1582,100%,First-time author terms
305,299,15,50000,0.1838,100%,Standard trade terms
306,300,86,750000,0.1894,100%,Escalating royalty after 100k copies
307,301,99,50000,0.1069,100%,First-time author terms
308,302,87,200000,0.1655,50.0%,Flat rate agreement
309,302,9,500000,0.1875,50.0%,Flat rate agreement
310,303,59,750000,0.1102,100%,Tiered digital/print split
311,304,57,200000,0.1613,100%,First-time author terms
312,305,16,500000,0.1501,100%,Standard trade terms
313,306,31,1000000,0.1999,100%,Flat rate agreement
314,307,85,1000000,0.1577,100%,First-time author terms
315,308,95,200000,0.1158,100%,Standard trade terms
316,309,92,750000,0.0877,100%,Flat rate agreement
317,310,3,300000,0.1834,100%,Flat rate agreement
318,311,15,200000,0.1026,100%,First-time author terms
319,312,83,150000,0.188,100%,First-time author terms
320,313,99,500000,0.1593,100%,Escalating royalty after 100k copies
321,314,13,50000,0.1586,100%,Flat rate agreement
322,315,38,200000,0.1888,100%,Tiered digital/print split
323,316,67,150000,0.1252,100%,Flat rate agreement
324,317,67,500000,0.1263,100%,Flat rate agreement
325,318,67,75000,0.1017,100%,Standard trade terms
326,319,67,300000,0.1666,100%,Tiered digital/print split
327,320,67,750000,0.1076,100%,Escalating royalty after 100k copies
328,321,67,200000,0.0927,100%,Flat rate agreement
329,322,67,150000,0.1717,100%,Escalating royalty after 100k copies
330,323,67,500000,0.1156,100%,Standard trade terms
331,324,67,750000,0.1305,100%,Flat rate agreement
332,325,67,75000,0.1404,100%,Flat rate agreement
333,326,67,750000,0.144,100%,Flat rate agreement
334,327,67,500000,0.1858,100%,Tiered digital/print split
335,328,67,100000,0.1139,100%,First-time author terms
336,329,67,750000,0.1033,100%,Flat rate agreement
337,330,67,150000,0.1214,100%,Flat rate agreement
338,331,67,200000,0.1958,100%,Escalating royalty after 100k copies
339,332,101,100000,0.1747,100%,Flat rate agreement
340,333,101,500000,0.1692,100%,Escalating royalty after 100k copies
341,334,101,500000,0.1833,100%,Flat rate agreement
342,335,101,500000,0.0804,100%,First-time author terms
343,336,101,150000,0.0802,100%,Flat rate agreement
344,337,101,100000,0.1413,100%,Tiered digital/print split
345,338,101,150000,0.1117,100%,Tiered digital/print split
346,339,44,500000,0.1387,100%,Flat rate agreement
347,340,59,75000,0.1366,100%,Tiered digital/print split
348,341,15,200000,0.1449,100%,Flat rate agreement
349,342,95,750000,0.1849,100%,Standard trade terms
350,343,8,750000,0.0885,100%,Standard trade terms
351,344,58,100000,0.0811,100%,Standard trade terms
352,345,98,150000,0.1614,100%,Tiered digital/print split
353,346,82,100000,0.093,100%,Tiered digital/print split
354,347,37,200000,0.1352,100%,Tiered digital/print split
355,348,93,500000,0.1033,100%,Tiered digital/print split
356,349,99,200000,0.114,100%,Standard trade terms
357,350,14,300000,0.1178,100%,Escalating royalty after 100k copies
358,351,13,200000,0.1964,100%,Tiered digital/print split
359,352,47,500000,0.1405,100%,Tiered digital/print split
360,353,93,200000,0.1254,100%,First-time author terms
361,354,95,200000,0.191,100%,Flat rate agreement
362,355,98,75000,0.0974,100%,Flat rate agreement
363,356,59,50000,0.1055,100%,First-time author terms
364,357,57,50000,0.1433,100%,First-time author terms
365,358,82,75000,0.1567,100%,Escalating royalty after 100k copies
366,359,45,200000,0.1753,100%,Flat rate agreement
367,360,61,50000,0.1614,100%,First-time author terms
368,361,92,500000,0.0904,100%,Flat rate agreement
369,362,99,75000,0.1231,100%,First-time author terms
370,363,13,50000,0.0857,100%,Escalating royalty after 100k copies
